donor_code,donor_name,donor_type,country_code,country_name,sector,recent_avg,active_years,active_share,sector_share,disburse_pctile_within_cs,disbursement_strong,persistence_strong,embeddedness_strong,n_strong,priority,cs_context
ITA,Italy,Bilateral (DAC),ARG,Argentina,Trade,0.0,4,0.17391304347826086,0.000344279578422656,,False,False,False,0,Peripheral / not assessed,Low-activity space
KOR,Korea,Bilateral (DAC),ARG,Argentina,Trade,0.0,5,0.21739130434782608,0.05363829917695549,,False,False,False,0,Peripheral / not assessed,Low-activity space
USA,United States,Bilateral (DAC),ARG,Argentina,Trade,0.0,7,0.30434782608695654,0.02284053492731838,,False,False,False,0,Peripheral / not assessed,Low-activity space
5IDB0,IDB Group,MDB,ARG,Argentina,Transport & Storage,0.12926533333333334,13,0.5652173913043478,0.08881425614193553,80.0,True,True,False,2,High,Thin / emerging space
USA,United States,Bilateral (DAC),ARG,Argentina,Transport & Storage,0.0143850733955208,7,0.30434782608695654,0.010535509060445798,40.0,False,False,False,0,Low,Thin / emerging space
FRA,France,Bilateral (DAC),ARG,Argentina,Transport & Storage,0.17603481246899444,4,0.17391304347826086,0.006885082025899519,100.0,True,False,False,1,Medium,Thin / emerging space
ESP,Spain,Bilateral (DAC),ARG,Argentina,Transport & Storage,0.019605309383637897,15,0.6521739130434783,0.015530664853111121,60.0,False,True,False,1,Medium,Thin / emerging space
BEL,Belgium,Bilateral (DAC),ARG,Argentina,Transport & Storage,0.001413,3,0.13043478260869565,0.19753420310465886,20.0,False,False,True,1,Medium,Thin / emerging space
DEU,Germany,Bilateral (DAC),ARG,Argentina,Transport & Storage,0.0,1,0.043478260869565216,5.7518379300863295e-05,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
GBR,United Kingdom,Bilateral (DAC),ARG,Argentina,Transport & Storage,0.0,3,0.13043478260869565,0.004088432431699996,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
